ethanol__heptane,1664,,,,,,,,,,,,,
2-propanol__water,1278,,,,,,,,,,,,,
methanol__water,1117,,,,Water,Heptane,Octane,Decane,Methanol,Ethanol,1-propanol,1-butanol,Benzene,Toluene
"1,3-dimethylbenzene__2-butoxyethanol",66,,,,,,,,,,,,,
"1,2-dimethylbenzene__2-methoxyethanol",66,,,,,,,,,,,,,
benzene__methoxybenzene,66,,,,,,,,,,,,,
"1,2-dihydroxypropane__1-nonanol",66,,,,,,,,,,,,,
"toluene__ethanol, 2-ethoxy-",66,,,,,,,,,,,,,
"1,4-dimethylbenzene__heptane",66,,,,,,,,,,,,,
"ethylbenzene__ethanol, 2-ethoxy-",66,,,,,,,,,,,,,
ethylcyclohexane__JP-10,66,,,,,,,,,,,,,
"1,4-dimethylbenzene__2-butoxyethanol",66,,,,,,,,,,,,,
"1,3-dimethylbenzene__ethanol, 2-ethoxy-",66,,,,,,,,,,,,,
"1,4-dioxane__cyclopentane",66,,,,,,,,,,,,,
1-propanol__isopropyl ether,66,,,,,,,,,,,,,
"1,4-dimethylbenzene__ethanol, 2-ethoxy-",66,,,,,,,,,,,,,
"1,2-dihydroxypropane__amylcarbinol",66,,,,,,,,,,,,,
ethylbenzene__2-butoxyethanol,66,,,,,,,,,,,,,
"1,3-dimethylbenzene__2-methoxyethanol",66,,,,,,,,,,,,,
"1,2-dimethylbenzene__2-butoxyethanol",66,,,,,,,,,,,,,
methoxybenzene__toluene,66,,,,,,,,,,,,,
"1,4-dimethylbenzene__2-methoxyethanol",66,,,,,,,,,,,,,
toluene__2-butoxyethanol,66,,,,,,,,,,,,,
"1,2-dimethylbenzene__ethanol, 2-ethoxy-",66,,,,,,,,,,,,,
"1,2-dihydroxypropane__methyl alcohol",66,,,,,,,,,,,,,
butylcyclohexane__JP-10,66,,,,,,,,,,,,,
"1-butanol__1,2-butanediol",65,,,,,,,,,,,,,
2-methylphenol__1-nonanol,64,,,,,,,,,,,,,
.alpha.-methyltoluene__1-nonanol,64,,,,,,,,,,,,,
"1,4-xylene__1-nonanol",64,,,,,,,,,,,,,
"1,3,5-trimethylbenzene__octane",64,,,,,,,,,,,,,
4-methylphenol__1-nonanol,64,,,,,,,,,,,,,
"benzene, 1,3,5-trimethyl-__1-nonanol",64,,,,,,,,,,,,,
"1,3-dimethylbenzene__octane",64,,,,,,,,,,,,,
methanol__cyclohexane,64,,,,,,,,,,,,,
3-methylphenol__1-nonanol,64,,,,,,,,,,,,,
dimethylglycol__heptane,64,,,,,,,,,,,,,
methyl phenyl ether__1-nonanol,64,,,,,,,,,,,,,
m-xylene__1-nonanol,64,,,,,,,,,,,,,
"1,2-xylene__1-nonanol",64,,,,,,,,,,,,,
"2-methyl-2-propanol__2,2,4-trimethylpentane",63,,,,,,,,,,,,,
ethanol__2-methyl-2-propanol,63,,,,,,,,,,,,,
2-phenylethanol__benzyl alcohol,63,,,,,,,,,,,,,
"2-propanol__2,2,4-trimethylpentane",63,,,,,,,,,,,,,
isopropyl ether__methylcyclohexane,63,,,,,,,,,,,,,
"2,2,4-trimethylpentane__1,3-dioxolane",63,,,,,,,,,,,,,
2-propanol__benzyl alcohol,63,,,,,,,,,,,,,
"tetrahydrofuran__2,2,4-trimethylpentane",63,,,,,,,,,,,,,
1-propanol__methyl tert-butyl ether,63,,,,,,,,,,,,,
benzene__nonane,61,,,,,,,,,,,,,
toluene__cyclooctane,61,,,,,,,,,,,,,
ethylbenzene__cyclooctane,61,,,,,,,,,,,,,
benzene__heptane,61,,,,,,,,,,,,,
benzene__cyclooctane,61,,,,,,,,,,,,,
"(RS)-2-butanol__1,1-dimethylethyl methyl ether",61,,,,,,,,,,,,,
"furfuryl alcohol, tetrahydro-__water",60,,,,,,,,,,,,,
ethanol__n-decane,60,,,,,,,,,,,,,
"1,2-dihydroxypropane__n-propyl alcohol",60,,,,,,,,,,,,,
"ethanol, 2-ethoxy-__octane",59,,,,,,,,,,,,,
cyclohexane__tetrahydropyran,59,,,,,,,,,,,,,
2-propanol__1-propanol,58,,,,,,,,,,,,,
methylcyclohexane__heptane,58,,,,,,,,,,,,,
"1,1-diethoxyethane__1,3,5-trimethylbenzene",57,,,,,,,,,,,,,
"2,2-dimethoxypropane__1,2,4-trimethylbenzene",57,,,,,,,,,,,,,
"1-propanol__1,2-ethanediol",57,,,,,,,,,,,,,
1-butanol__5-oxanonane,57,,,,,,,,,,,,,
"ethanol__1,2-ethanediol",57,,,,,,,,,,,,,
"1,2,4-trimethylbenzene__1,1-diethoxyethane",57,,,,,,,,,,,,,
methylcyclohexane__hexane,57,,,,,,,,,,,,,
"2-propanol__1,2-ethanediol",57,,,,,,,,,,,,,
"2,2-dimethoxypropane__1,3,5-trimethylbenzene",57,,,,,,,,,,,,,
"3,6-dioxa-1-octanol__water",56,,,,,,,,,,,,,
methylcyclohexane__octane,56,,,,,,,,,,,,,
n-propanol__water,56,,,,,,,,,,,,,
"1-hexanol__1,4-dioxane",56,,,,,,,,,,,,,
"ethanol, 2-ethoxy-__water",56,,,,,,,,,,,,,
methanol__4-methylphenol,55,,,,,,,,,,,,,
methanol__3-methylphenol,55,,,,,,,,,,,,,
1-octanol__heptane,55,,,,,,,,,,,,,
cyclohexane__JP-10,55,,,,,,,,,,,,,
